"ZIP","TotReturns","Adj_AGI","Avg_AGI","Indx"
11769,4920,62583.37,12.72,2.54
11771,5010,252188.68,50.34,3.92
11772,22090,186508.92,8.44,2.13
11776,11800,119190.55,10.1,2.31
11777,4580,101589.12,22.18,3.1
11778,6010,65209.97,10.85,2.38
11779,19090,194573.67,10.19,2.32
11780,7520,244449.08,32.51,3.48
11782,7870,112271.68,14.27,2.66
11783,10750,161649.16,15.04,2.71
11784,11990,110409.24,9.21,2.22
11786,3100,53770.12,17.35,2.85
11787,16790,296758.78,17.67,2.87
11788,8340,121719.74,14.59,2.68
11789,3600,39721.67,11.03,2.4
11790,6720,123851.3,18.43,2.91
11791,12000,479293.79,39.94,3.69
11792,4180,65796.52,15.74,2.76
11793,16310,252156.98,15.46,2.74
11795,12830,175977.15,13.72,2.62
11796,1840,23860.94,12.97,2.56
11797,4620,261589.34,56.62,4.04
11798,7880,58550.65,7.43,2.01
11801,20930,201005.31,9.6,2.26
11803,14070,292647.83,20.8,3.03
11804,2530,48510.03,19.17,2.95
11901,12180,90858.22,7.46,2.01
11933,3380,33876,10.02,2.3
11934,3790,46899.96,12.37,2.52
11935,1850,24366.8,13.17,2.58
11937,8810,124980.37,14.19,2.65
11939,540,6440.99,11.93,2.48
11940,2700,32933.49,12.2,2.5
11941,1340,16556.13,12.36,2.51
11942,2460,28826.09,11.72,2.46
11944,2360,19021.7,8.06,2.09
11946,7290,59176.23,8.12,2.09
11948,590,7295.43,12.37,2.52
11949,6730,87120.15,12.95,2.56
11950,7470,57029.24,7.63,2.03
11951,6190,47394.22,7.66,2.04
11952,2590,29823.27,11.51,2.44
11953,6530,59617.6,9.13,2.21
11954,2720,23650.88,8.7,2.16
11955,1730,15838.35,9.16,2.21
11957,490,7325.3,14.95,2.7
11958,500,4847.2,9.69,2.27
11961,6570,59106.23,9,2.2
11963,4260,57967.17,13.61,2.61
11967,12390,103501.91,8.35,2.12
11968,5280,75629.4,14.32,2.66
11971,3140,36561.26,11.64,2.45
11976,1200,61402.75,51.17,3.94
11977,1270,17684.98,13.93,2.63
11978,1860,24403.24,13.12,2.57
11980,2190,23938.14,10.93,2.39
12007,120,1757.22,14.64,2.68
12008,240,3791.54,15.8,2.76
12009,3660,37207.25,10.17,2.32
12010,13050,95355.96,7.31,1.99
12015,1680,15293.64,9.1,2.21
12017,190,2876.1,15.14,2.72
12018,3770,39968.9,10.6,2.36
12019,7600,97380.35,12.81,2.55
12020,15730,148786.21,9.46,2.25
12022,420,3297.14,7.85,2.06
12023,1000,9154.38,9.15,2.21
12025,2710,21345.03,7.88,2.06
12027,2000,26714.58,13.36,2.59
12028,590,4912.88,8.33,2.12
12029,500,6229.8,12.46,2.52
12031,110,1291.86,11.74,2.46
