"","npi","score_spread","score_bene"
"734","1467416131",1,18
"735","1467426643",4,6
"736","1467428573",18,16
"737","1467430157",1,18
"738","1467433904",0,0
"739","1467446575",2,17
"740","1467453506",11,17
"741","1467475764",0,8
"742","1467479907",0,12
"743","1467480616",11,11
"744","1467484071",14,13
"745","1467484519",15,9
"746","1467526251",7,8
"747","1467542779",4,16
"748","1467613216",13,11
"749","1467614057",0,0
"750","1467637298",22,18
"751","1467641910",0,10
"752","1467652933",0,0
"753","1477513794",0,4
"754","1477530012",0,23
"755","1477531036",24,5
"756","1477534592",8,11
"757","1477545572",3,9
"758","1477552248",4,12
"759","1477554566",6,12
"760","1477555829",5,14
"761","1477561918",17,10
"762","1477574531",1,4
"763","1477585008",2,16
"764","1477630390",3,22
"765","1477639292",25,17
"766","1477649424",27,12
"767","1477653657",6,0
"768","1477714905",13,10
"769","1477737096",2,6
"770","1487603411",0,0
"771","1487631420",15,12
"772","1487632568",19,6
"773","1487636486",25,21
"774","1487642682",7,10
"775","1487650743",17,10
"776","1487652061",25,21
"777","1487657888",21,14
"778","1487661104",9,13
"779","1487681482",12,7
"780","1487681896",9,6
"781","1487685228",10,13
"782","1487722922",10,11
"783","1487748158",8,9
"784","1487816005",16,8
"785","1487858791",12,3
"786","1497702765",8,4
"787","1497708119",5,3
"788","1497710818",9,12
"789","1497715460",7,6
"790","1497723688",7,8
"791","1497750673",16,12
"792","1497753883",0,11
"793","1497758791",0,17
"794","1497766547",7,12
"795","1497770580",5,8
"796","1497772958",2,21
"797","1497791081",1,13
"798","1497797641",10,11
"799","1497815807",12,14
"800","1497831424",7,12
"801","1497857080",16,18
"802","1497892996",15,5
"803","1497944813",5,5
"804","1497944862",0,9
"805","1497959332",1,3
"806","1508802182",19,8
"807","1508826579",7,8
"808","1508837170",15,10
"809","1508844341",22,10
"810","1508846262",19,21
"811","1508851783",11,9
"812","1508864364",0,0
"813","1508883497",2,11
"814","1508949603",13,20
"815","1508957507",12,6
"816","1518013358",5,10
"817","1518016807",0,0
"818","1518054691",9,16
"819","1518068162",15,9
"820","1518113992",0,15
"821","1518138486",13,11
"822","1518169630",3,0
"823","1518186089",0,0
"824","1518919661",11,12
"825","1518944495",18,4
"826","1518952696",0,0
"827","1518955715",5,10
"828","1518987643",3,3
"829","1528022985",10,12
"830","1528025129",12,9
"831","1528029139",14,22
"832","1528039286",13,18
"833","1528059045",9,3
"834","1528059995",6,1
"835","1528069986",6,5
"836","1528081148",24,13
"837","1528094414",4,3
"838","1528095387",13,14
"839","1528099132",9,25
"840","1528099926",11,8
"841","1528103397",6,6
"842","1528110244",5,25
"843","1528121035",19,23
"844","1528141942",10,3
"845","1528147832",0,7
"846","1528154812",4,4
"847","1528159027",13,10
"848","1528172392",21,15
"849","1528277092",0,0
"850","1528399854",18,13
"851","1538104427",7,13
"852","1538105358",15,8
"853","1538106703",4,14
"854","1538112636",3,4
"855","1538141296",15,9
"856","1538152681",2,13
"857","1538153366",15,11
"858","1538153705",15,13
"859","1538163902",11,13
"860","1538165584",19,18
"861","1538181730",18,12
"862","1538194451",5,9
"863","1538266507",20,22
"864","1538275425",7,13
"865","1538277603",17,20
"866","1538278890",0,12
"867","1538322995",15,12
"868","1538346093",12,7
"869","1538362058",7,14
"870","1548201619",12,14
"871","1548208473",21,12
"872","1548227275",5,9
"873","1548228190",19,14
"874","1548230436",7,14
"875","1548251713",21,10
"876","1548254840",8,20
"877","1548263858",21,18
"878","1548265523",15,9
"879","1548265796",0,24
"880","1548289184",11,9
"881","1548320187",18,16
"882","1548324205",18,9
"883","1548325707",6,6
"884","1548356454",19,8
"885","1548373855",13,17
"886","1548379431",0,14
"887","1548423908",2,1
"888","1548438625",15,9
"889","1558303354",22,20
"890","1558312637",8,13
"891","1558327742",9,15
"892","1558332072",10,14
"893","1558337485",0,9
"894","1558345306",18,16
"895","1558364430",9,9
"896","1558364505",28,12
"897","1558366526",15,19
"898","1558366682",10,8
"899","1558371591",11,13
"900","1558380964",5,3
"901","1558397505",3,12
"902","1558432377",8,17
"903","1558450080",4,14
"904","1558456707",8,10
"905","1558463802",15,14
"906","1558493775",9,8
"907","1558518332",2,2
